"ProvinceID","Province","MunicipalityID","Municipality","WardID","Name","Delimitation_ProvinceID","Delimitation_Province","Delimitation_MunicipalityID","Delimitation_Municipality","Delimitation_WardID","Delimitation_VDNumber","PartyDetail_ID","PartyDetail_Name","PartyDetail_Abbreviation","PartyDetail_LogoUrl","PartyDetail_RegStatus","PartyDetail_RegLevel","PartyDetail_ContactDetails_ContactPerson","PartyDetail_ContactDetails_Tel","PartyDetail_ContactDetails_Fax","PartyDetail_ContactDetails_PostalAddress","PartyDetail_ContactDetails_WebsiteUrl","Municipality_ID","Municipality_Name","Municipality_ContactDetails_ContactPerson","Municipality_ContactDetails_Tel","Municipality_ContactDetails_Fax","Municipality_ContactDetails_PostalAddress","Municipality_ContactDetails_WebsiteUrl","PartyID","PartyName","PartyAbbreviation"
"0","","0","WC011 - Matzikama","0","TITIES JOHAN MULLER","9","Western Cape","9902","WC011 - Matzikama","10101001","0","7","AFRICAN NATIONAL CONGRESS","ANC","ANC.jpg","Registered","National","SHANAAZ LAMARA                                       ","","","    ","http://www.anc1912.org.za","9902","WC011 - Matzikama","","027 - 201 3301","027 - 213 3238","","www.matzikamamun.co.za","0","",""
"0","","0","WC011 - Matzikama","0","AMELIA FRANSINA KRISTINA JOB","9","Western Cape","9902","WC011 - Matzikama","10101002","0","52","DEMOCRATIC ALLIANCE","DA","DA.jpg","Registered","National","CATHARINA SUSANNA ABELL","","","    ","http://www.da.org.za","9902","WC011 - Matzikama","","027 - 201 3301","027 - 213 3238","","www.matzikamamun.co.za","0","",""
"0","","0","WC011 - Matzikama","0","SAMPI JACKES TSHABALALA","9","Western Cape","9902","WC011 - Matzikama","10101003","0","7","AFRICAN NATIONAL CONGRESS","ANC","ANC.jpg","Registered","National","SHANAAZ LAMARA                                       ","","","    ","http://www.anc1912.org.za","9902","WC011 - Matzikama","","027 - 201 3301","027 - 213 3238","","www.matzikamamun.co.za","0","",""
"0","","0","WC011 - Matzikama","0","CECIL ANDREW LE FLEUR","9","Western Cape","9902","WC011 - Matzikama","10101004","0","7","AFRICAN NATIONAL CONGRESS","ANC","ANC.jpg","Registered","National","SHANAAZ LAMARA                                       ","","","    ","http://www.anc1912.org.za","9902","WC011 - Matzikama","","027 - 201 3301","027 - 213 3238","","www.matzikamamun.co.za","0","",""
"0","","0","WC011 - Matzikama","0","STEPHANUS PETRUS CORNELISSEN","9","Western Cape","9902","WC011 - Matzikama","10101005","0","52","DEMOCRATIC ALLIANCE","DA","DA.jpg","Registered","National","CATHARINA SUSANNA ABELL","","","    ","http://www.da.org.za","9902","WC011 - Matzikama","","027 - 201 3301","027 - 213 3238","","www.matzikamamun.co.za","0","",""
"0","","0","WC011 - Matzikama","0","MONICA BOTTOM","9","Western Cape","9902","WC011 - Matzikama","10101006","0","957","PATRIOTIC ALLIANCE","PA","PA.jpg","Registered","National","BRUCE ALDRIN NIMMERHOUDT                                  ","","","    ","","9902","WC011 - Matzikama","","027 - 201 3301","027 - 213 3238","","www.matzikamamun.co.za","0","",""
"0","","0","WC011 - Matzikama","0","RICHARD VAN HUYSSTEEN","9","Western Cape","9902","WC011 - Matzikama","10101007","0","52","DEMOCRATIC ALLIANCE","DA","DA.jpg","Registered","National","","","","    ","http://www.da.org.za","9902","WC011 - Matzikama","","027 - 201 3301","027 - 213 3238","","www.matzikamamun.co.za","0","",""
"0","","0","WC011 - Matzikama","0","ALBERTUS JOHANNES POOL","9","Western Cape","9902","WC011 - Matzikama","10101008","0","52","DEMOCRATIC ALLIANCE","DA","DA.jpg","Registered","National","CATHARINA SUSANNA ABELL","","","    ","http://www.da.org.za","9902","WC011 - Matzikama","","027 - 201 3301","027 - 213 3238","","www.matzikamamun.co.za","0","",""
"0","","0","WC012 - Cederberg","0","AZRIAL MAVRICK SCHEEPERS","9","Western Cape","9903","WC012 - Cederberg","10102001","0","7","AFRICAN NATIONAL CONGRESS","ANC","ANC.jpg","Registered","National","SHANAAZ LAMARA                                       ","","","    ","http://www.anc1912.org.za","9903","WC012 - Cederberg","","027 - 482 8000","027 - 482 1933","","www.cedebergmunicipality.co.za","0","",""
"0","","0","WC012 - Cederberg","0","YVES DE ANTONIO BLAAUW","9","Western Cape","9903","WC012 - Cederberg","10102002","0","52","DEMOCRATIC ALLIANCE","DA","DA.jpg","Registered","National","","","","    ","http://www.da.org.za","9903","WC012 - Cederberg","","027 - 482 8000","027 - 482 1933","","www.cedebergmunicipality.co.za","0","",""
"0","","0","WC012 - Cederberg","0","MAXWELL HEINS","9","Western Cape","9903","WC012 - Cederberg","10102003","0","1638","CEDERBERG FIRST RESIDENTS ASSOCIATION","CE","CEWC012.jpg","Registered","Municipal","","","","    ","","9903","WC012 - Cederberg","","027 - 482 8000","027 - 482 1933","","www.cedebergmunicipality.co.za","0","",""
"0","","0","WC012 - Cederberg","0","PAULUS JACOBUS STRAUSS","9","Western Cape","9903","WC012 - Cederberg","10102004","0","52","DEMOCRATIC ALLIANCE","DA","DA.jpg","Registered","National","MICHAEL JONATHAN SMITH","","","    ","http://www.da.org.za","9903","WC012 - Cederberg","","027 - 482 8000","027 - 482 1933","","www.cedebergmunicipality.co.za","0","",""
"0","","0","WC012 - Cederberg","0","JOHN PATRICK HAYES","9","Western Cape","9903","WC012 - Cederberg","10102005","0","52","DEMOCRATIC ALLIANCE","DA","DA.jpg","Registered","National","","","","    ","http://www.da.org.za","9903","WC012 - Cederberg","","027 - 482 8000","027 - 482 1933","","www.cedebergmunicipality.co.za","0","",""
"0","","0","WC012 - Cederberg","0","ANDRÉ GRANT MOUTON","9","Western Cape","9903","WC012 - Cederberg","10102006","0","1638","CEDERBERG FIRST RESIDENTS ASSOCIATION","CE","CEWC012.jpg","Registered","Municipal","FRANCOIS BERRY","0214814300","","    ","","9903","WC012 - Cederberg","","027 - 482 8000","027 - 482 1933","","www.cedebergmunicipality.co.za","0","",""
"0","","0","WC013 - Bergrivier","0","JAKOBUS DANIELS","9","Western Cape","9904","WC013 - Bergrivier","10103001","0","52","DEMOCRATIC ALLIANCE","DA","DA.jpg","Registered","National","CATHARINA SUSANNA ABELL","","","    ","http://www.da.org.za","9904","WC013 - Bergrivier","","022 - 913 6000","022 - 913 1500","","www.bergmun.gov.za","0","",""
"0","","0","WC013 - Bergrivier","0","ADAM JOHANNES DU PLOOY","9","Western Cape","9904","WC013 - Bergrivier","10103002","0","52","DEMOCRATIC ALLIANCE","DA","DA.jpg","Registered","National","CATHARINA SUSANNA ABELL","","","    ","http://www.da.org.za","9904","WC013 - Bergrivier","","022 - 913 6000","022 - 913 1500","","www.bergmun.gov.za","0","",""
"0","","0","WC013 - Bergrivier","0","ADRIAAN DE VRIES","9","Western Cape","9904","WC013 - Bergrivier","10103003","0","52","DEMOCRATIC ALLIANCE","DA","DA.jpg","Registered","National","CATHARINA SUSANNA ABELL","","","    ","http://www.da.org.za","9904","WC013 - Bergrivier","","022 - 913 6000","022 - 913 1500","","www.bergmun.gov.za","0","",""
